feature_ID,Z_statistic,p_value,median_pacientes,median_sanos,mean_pacientes,mean_sanos,significativo_0_05
146,-1.600961249711224,0.1093855020928125,0.3170991208207123,0.383097648711644,0.3693759427364577,0.3631545499891641,False
61,-1.547147426191519,0.1218276999986346,0.3140105067017834,0.3304759070652389,0.2988484373261433,0.4013567321941335,False
158,-1.538178455604901,0.1240049872138272,0.331207285671777,0.3838192627401866,0.3830702485529848,0.3761122607855777,False
11,-1.511271543845049,0.1307192809163244,0.6530896567041002,0.722787239309843,0.6301562212911163,0.7002580212637304,False
20,-1.493333602671814,0.1353498838175802,0.3117595616184667,0.3690284572925882,0.3609871353171286,0.3541510390789313,False
77,-1.318438676232772,0.1873568408568789,0.0,0.0,0.07692307692306745,0.2444444444444144,False
71,1.318438676232772,0.1873568408568789,0.4969578035251479,0.4969578035251479,0.7291311249750455,0.609691419422819,False
9,-1.224264485073289,0.2208524698963464,0.04361841266189354,0.05674244830285313,0.106462993780844,0.06150580192298022,False
5,-1.206326543900054,0.2276916067728288,0.8096616153662078,0.8101823773046731,0.7914367679202912,0.7789476826120441,False
25,1.197357573313436,0.2311672128611447,0.4240684195501539,0.2656994724761555,0.4008381658417713,0.3428406395123321,False
67,-1.143543749793731,0.2528129010164081,0.4046668126219889,0.4723935052307479,0.4105709988334039,0.4581588502752972,False
64,-1.089729926274026,0.2758321294656615,0.1326471374805115,0.4787300484642072,0.2954385445114918,0.3701052195964388,False
149,-1.062823014514174,0.2878622205335789,0.0,0.9999999999999661,0.4871794871794706,0.6222222222222009,False
46,1.044885073340939,0.296076089356328,0.0,0.0,0.1549354655434998,0.04444444444444348,False
53,-0.9821022792346161,0.326049462728915,0.9999999999997081,0.9999999999997081,0.5641025641023995,0.6888888888886879,False
85,-0.9013815439550587,0.367385490881273,0.4429480834702,0.4533491633264179,0.4546595251800142,0.4812410698793431,False
151,-0.8385987498487362,0.4016945124424515,0.4081395208168537,0.542704743466364,0.4667038363430056,0.4910091273545802,False
121,0.7758159557424137,0.4378576615762418,0.4423043610276424,0.4343299303024852,0.4469340394188216,0.4080378890505263,False
43,-0.7399400733959437,0.4593363573147894,0.5600745930126549,0.6496883470097324,0.5401679379648419,0.532541213426458,False
49,0.7309711028093262,0.4647968037722838,0.4733748818543187,0.4720949533626941,0.5072495526767759,0.4667223143265251,False
79,-0.7220021322227087,0.4702931666007096,0.3636472209898957,0.3927856361894195,0.376260268926551,0.3832955417653203,False
106,-0.7130331616360912,0.4758252370137451,0.0,0.0,0.04195656097959451,0.1512874130354406,False
112,-0.6995797057561649,0.4841898201149807,0.0,0.0,0.0,0.05535298509134177,False
28,0.6950952204628562,0.4869956298566729,0.9999999999999261,0.9999999999999261,0.9268908547658816,0.9217514378217769,False
22,-0.6637038234096949,0.506879891793426,0.02082808787851278,0.02082808787851278,0.08170788491626994,0.0752466137111277,False
